user_id,item_id,recommend,sentiment_analiysis
76561197970982479,1250,True,2
76561197970982479,22200,True,1
76561197970982479,43110,True,2
js41637,251610,True,2
js41637,227300,True,2
js41637,239030,True,2
evcentric,248820,True,1
evcentric,370360,True,1
evcentric,237930,True,1
evcentric,263360,True,1
evcentric,107200,True,2
evcentric,224500,True,2
doctr,250320,True,2
doctr,20920,True,2
doctr,204100,True,2
doctr,224600,True,2
doctr,207610,True,0
doctr,108710,True,2
maplemage,211420,True,1
maplemage,211820,True,2
maplemage,730,True,1
maplemage,204300,True,2
Wackky,249130,True,1
Wackky,207610,True,1
Wackky,550,True,2
Wackky,65800,True,1
Wackky,220,True,1
76561198079601835,730,True,1
MeaTCompany,730,True,1
76561198089393905,72850,True,0
76561198089393905,440,True,1
76561198156664158,252950,True,2
76561198077246154,440,True,1
76561198077246154,304930,True,1
WeiEDKrSat,4000,True,1
thequeenpanda,42910,True,1
death-hunter,232090,True,1
death-hunter,1250,True,2
death-hunter,4000,True,2
DJKamBer,304930,True,2
DJKamBer,570,True,2
DJKamBer,218620,True,2
DJKamBer,224260,True,2
DJKamBer,1250,True,0
DJKamBer,440,True,1
Rainbow-Dashie,730,True,2
Rainbow-Dashie,440,True,1
Rainbow-Dashie,49520,True,1
76561198043472122,33440,False,1
MarbleShrine,220200,True,2
PPanther,211820,True,2
devvonst,440,True,2
devvonst,218740,True,1
devvonst,550,True,2
Fr0stedLine,220,True,1
starkillershadow553,238090,True,1
starkillershadow553,242130,True,0
starkillershadow553,277430,True,2
76561198058373434,8870,True,1
76561198048353577,368230,True,1
76561198048353577,4000,True,1
76561198048353577,33930,True,2
76561198066046412,359320,False,1
76561198066046412,219640,True,2
tru_mu_,287980,True,2
76561198070565427,218620,True,1
76561198070565427,208090,True,1
76561198070565427,242700,True,1
76561198070565427,570,False,1
76561198070565427,224260,True,1
SavageEeEe,221100,True,2
76561198076909484,570,True,1
KanadeTheNeko,331470,True,2
KanadeTheNeko,4000,True,1
Leaf_Light_Moscow,323370,True,2
GoAwayZach,304930,True,2
76561198054540475,12210,True,0
76561198054540475,265210,True,1
76561198054540475,48700,True,2
76561198085547365,238460,True,1
76561198085547365,34900,True,2
76561198061252210,730,True,2
OfficialShroomsy,113200,True,2
boydeer,440,True,1
boydeer,383080,False,1
VVillis,213670,True,1
76561198083226897,105600,True,1
76561198075277292,730,True,1
76561198075277292,570,True,2
76561198028895010,231180,True,2
76561198028895010,620,True,2
76561198170198366,271290,True,2
diego9031,4000,True,1
diego9031,317360,True,1
diego9031,223710,True,1
diego9031,299360,True,1
diego9031,322330,True,1
diego9031,1250,True,1
diego9031,12100,True,1
diego9031,204360,True,1
diego9031,440,True,1
diego9031,224260,True,1
jarrodtrim,440,True,2
76561198078738103,304930,True,2
76561198067936203,440,True,2
76561198079770573,1840,True,1
76561198087586464,440,True,2
Derp-e,440,True,2
76561198070194565,233250,True,1
76561198070194565,449140,True,1
76561198070194565,368730,True,1
76561198070194565,246280,True,1
76561198070194565,427270,True,2
76561198070194565,397100,True,1
76561198070194565,248570,True,1
Rivtex,298630,True,1
UTNerd24,244210,True,2
UTNerd24,440,True,1
UTNerd24,376920,True,2
UTNerd24,257750,True,1
UTNerd24,221910,True,1
UTNerd24,2280,True,0
sandwiches1,417860,False,1
76561198138053270,218620,True,2
lucaswerg,218620,True,2
lucaswerg,222880,True,1
Life-Of-Blu,377160,True,2
Life-Of-Blu,211820,True,2
CaptianAutismo,252490,True,1
76561198075895633,440,True,2
TheDropix101,242920,True,2
kube134,251990,True,1
iamthekingofbrowntown,344760,False,0
iamthekingofbrowntown,252950,True,1
iamthekingofbrowntown,236430,True,2
iamthekingofbrowntown,399730,True,1
MainScout,550,True,1
yookobz,377160,True,2
yookobz,219150,True,2
Posiblydead,277430,True,2
Posiblydead,239820,True,2
Posiblydead,17410,True,2
Mossy_Gaming,440,True,2
76561198102421718,270550,True,2
76561198102421718,274940,True,2
76561198102421718,333930,True,1
76561198087407319,440,True,1
76561198056741844,730,True,1
sad-commie,294100,True,0
sad-commie,212070,True,1
sad-commie,264140,True,1
76561198030567998,332800,True,1
76561198030567998,319630,True,2
76561198030567998,6020,True,0
76561198030567998,55230,True,2
76561198030567998,32430,True,2
76561198010674657,377160,False,2
76561198010674657,440,True,0
Coldaniel,35450,True,2
Coldaniel,440,True,1
Coldaniel,236390,True,2
therealmorty,351570,True,1
therealmorty,212680,True,0
Berserklejerker,391540,True,2
76561198061730629,550,True,1
YoHuNz,440,True,1
YoHuNz,570,True,1
possessioniskey,72850,True,2
possessioniskey,440,True,2
possessioniskey,113400,True,2
76561198093112529,440,True,1
76561198060447950,200510,True,1
whiteofwolfing,730,True,2
sergarino,383080,True,1
76561198081962345,200210,True,1
76561198081962345,1250,True,1
76561198073210139,304050,True,1
Nozomikat,265610,True,1
Nozomikat,264200,True,1
Nozomikat,417860,True,1
Nozomikat,333600,True,2
Nozomikat,213670,True,2
Nozomikat,91310,True,2
Nozomikat,437220,False,0
Nozomikat,210770,True,1
xfluttersx,351640,True,2
xfluttersx,202530,False,2
xfluttersx,105600,True,2
xfluttersx,440,True,2
xfluttersx,47870,True,2
xfluttersx,383080,True,1
xfluttersx,410,True,2
76561198056290589,730,True,2
ii_voltage_ii,253710,False,2
ii_voltage_ii,339280,True,2
ii_voltage_ii,271290,True,2
ii_voltage_ii,203290,True,2
76561198097762318,440,True,1
76561198097762318,233150,True,1
Hirukaz,550,True,1
StelerForYou,730,True,2
StelerForYou,211820,True,2
76561198183396245,440,True,2
Xx-Woods,346330,False,1
Xx-Woods,224260,True,2
Xx-Woods,317360,True,1
Xx-Woods,295550,True,1
Xx-Woods,250180,True,1
Xx-Woods,227940,True,1
Xx-Woods,17520,True,1
Xx-Woods,113420,True,1
kevinator23,320760,True,1
kevinator23,8850,True,2
kevinator23,233720,True,2
kevinator23,218620,True,1
kevinator23,730,True,2
kevinator23,219740,True,1
kevinator23,220240,True,2
kevinator23,440,True,1
76561198090715178,4000,True,2
76561198090715178,304930,True,2
CatsWhale,333950,True,2
CatsWhale,388520,True,2
CatsWhale,107410,True,2
CatsWhale,206210,True,1
76561198073784601,221100,True,2
76561198073784601,299740,False,1
mimimomoma,730,True,1
76561198102410011,440,True,1
de_Butl3r,209870,True,2
76561198027947401,322170,True,2
76561198027947401,304050,True,2
Bluezap1,440,True,1
Bluezap1,730,True,1
Bluezap1,362890,True,2
Bluezap1,413850,True,1
76561198074200011,730,True,2
jonasdbomb,346110,True,2
L1J1N,570,True,2
Lord_Exploit,311560,True,2
Lord_Exploit,322170,True,2
AVATAR715,48240,False,1
AVATAR715,440,True,2
AVATAR715,248570,True,1
AVATAR715,264140,True,2
AVATAR715,4000,True,2
AVATAR715,266430,True,2
AVATAR715,316010,True,2
AVATAR715,249570,True,2
YieuwMage,730,True,2
76561198078752187,240,True,1
A-Very-Sly-Person,304930,True,1
A-Very-Sly-Person,440,True,1
76561198211054671,730,True,1
76561198211054671,333930,True,0
76561197994493402,365590,True,2
76561197994493402,264200,True,2
76561197994493402,440,True,2
Koolcaz12,298050,False,1
76561198065656175,383080,True,2
76561198188979775,440,True,1
97396295,301520,True,2
97396295,243870,True,2
97396295,218230,False,0
97396295,291550,False,1
76561198126640317,251570,True,2
76561198126640317,221100,True,2
76561198126640317,316010,True,2
76561198126640317,218230,True,0
76561198126640317,333930,True,2
76561198126640317,222880,True,2
76561198126640317,730,True,2
DemonicWolvz,55230,True,2
DemonicWolvz,232090,True,2
DemonicWolvz,4000,True,1
DemonicWolvz,206420,True,1
DemonicWolvz,224260,True,1
DemonicWolvz,550,True,2
DieMadchenschanderin,346110,True,2
DieMadchenschanderin,380770,False,1
DieMadchenschanderin,454890,True,1
